navigation;modèle-imprimante;;imprimante;;Label;;;;ref-constructeur;prix;capacité;ID_printer;ID_product
Canon;Canon  Pixma;;Pixma MP 280;;COMPATIBLE Canon 2969B001 / PG-512 - Tête d'impression noire;;;;PG-512;null;2969 B 001;4448;4862
Philips;Philips  P;;P 2917;;ORIGINAL Epson C13S015022 / 7754 - Ruban nylon noir;;;;7754;null;C 13 S0 15022;9669;4703
Canon;Canon  imageCLASS D;;ImageClass D 550;;COMPATIBLE Canon 3500B002 / 728 - Toner noir;;;;728;null;3500 B 002;4449;4806
Samsung;Samsung  Myjet Plus MJC;;Myjet Plus MJC 3200;;COMPATIBLE Lexmark 18L0042E / 83 - Tête d'impression couleur;;;;83;null;18L0042E;12397;5537
Xerox;Xerox  Phaser;;Phaser 7300 N;;COMPATIBLE Xerox 016198000 - Toner noir;;;;016-1980-00;null;15000;16895;5864
Canon;Canon  Pixma;;Pixma MG 5250;;Pack de 5 GENERIQUES CANON PGI-525+526BKCMY;;;;PGI-525+CLI-526 BKCMY;null;4540 B 006;4450;4851
Compaq;Compaq  LN;;LN 17 Plus PS;;ORIGINAL Xerox 113R00095 - Toner noir;;;;113 R 00095;null;10000;6638;5021
Panasonic;Panasonic  KX-FHD;;KX-FHD 351;;ORIGINAL Panasonic KXFA57E - Rouleau transfert thermique;;;;KX-FA 57 E;null;Oui;9253;5245
Rex Rotary;Rex Rotary  Docustation;;Docustation 9908;;Ricoh Toner Type 8205D (828294) (Alt: 885344, 888157);;;;TYPE 8205 D;null;885344;10073;5287
Canon;Canon  NP;;NP 4835 S;;null;;;;null;null;null;4451;#N/A
Canon;Canon  i-SENSYS;;i-SENSYS LBP-7210 Cdn;;COMPATIBLE Canon 2662B002 / 718BK - Toner noir;;;;718BK;null;2662 B 002;4452;4831
Canon;Canon  W;;W 2200 S;;ORIGINAL Canon 7717A001 / BCI-1302 BK - Cartouche d'encre noire;;;;BCI-1302 BK;null;7717 A 001;4453;4909
Canon;Canon  Lasershot;;Lasershot LBP-5200 Series;;COMPATIBLE Canon 9287A003 / 701BK - Toner noir;;;;701BK;null;9287 A 003;4454;4963
Casio;Casio  PCR;;PCR 208;;ORIGINAL Canon 4202A002 / EP-102 - Ruban nylon noir-rouge;;;;EP-102;null;4202 A 002;6322;4684
OKI;OKI  Okilaser;;Okilaser OL 400 EL;;COMPATIBLE OKI 09002395 - Toner noir;;;;9002395;null;2500;7299;4713
Canon;Canon  Pixma;;Pixma MX 522;;COMPATIBLE Canon 5226B005 / CL-541 XL - Tête d'impression couleur;;;;CL-541 XL;null;5226 B 005;4455;4848
Tally Genicom;Tally Genicom  Intelliprint;;Intelliprint 9035;;ORIGINAL Brother FP8000 - Unité de fusión;;;;FP-8000;null;200000;14489;5630
Canon;Canon  imageCLASS MF;;ImageClass MF 620 Series;;COMPATIBLE Canon 6273B002 / 731H - Toner noir;;;;731H;null;6273 B 002;4456;4827
OKI;OKI  B;;B 2520 MFP;;ORIGINAL OKI 09004391 - Toner noir;;;;9004391;null;4000;7300;5110
Toshiba;Toshiba  E-Studio;;E-Studio 2330 C;;ORIGINAL Toshiba 6AJ00000047 / T-FC 28 EK - Toner noir;;;;T-FC 28 EK;null;6AJ00000047;14913;5659
Xerox;Xerox  WC;;WC 3550 TM;;ORIGINAL Xerox 106R01528 - Toner noir;;;;106 R 01528;null;5000;16896;5859
Casio;Casio  TK;;TK 300;;ORIGINAL Epson C43S015356 / ERC-18-B - Ruban nylon noir;;;;ERC-18-B;null;C 43 S0 15356;6323;5012
Omron;Omron  RS;;RS 5541;;ORIGINAL Epson C43S015356 / ERC-18-B - Ruban nylon noir;;;;ERC-18-B;null;C 43 S0 15356;8894;5012
Canon;Canon  MP;;MP 1218;;ORIGINAL Canon 4202A002 / EP-102 - Ruban nylon noir-rouge;;;;EP-102;null;4202 A 002;4457;4684
Xerox;Xerox  WC;;WC Pro 421 DEI;;ORIGINAL Toshiba 66061618 / T-2500 E - Toner noir;;;;T-2500 E;null;66061618;16897;5650
Ricoh;Ricoh  Aficio MP;;Aficio MP 2500 sp;;ORIGINAL Ricoh 841040 / DT2500BLK - Toner noir;;;;DT2500BLK;null;841040;10995;5404
Xerox;Xerox  WC;;WC 5222 KF;;ORIGINAL Xerox 106R01306 - Toner noir;;;;106 R 01306;null;30000;16898;5841
Xerox;Xerox  WC;;WC 3615 DNM;;COMPATIBLE Xerox 106R02731 - Toner noir;;;;106 R 02731;null;25300;16899;5894
Ricoh;Ricoh  Aficio Color;;Aficio Color 3224;;ORIGINAL Ricoh 888483 / TYPE T 2 - Toner noir;;;;TYPE T 2;null;888483;10996;5301
Panasonic;Panasonic  UF;;UF 889;;COMPATIBLE Panasonic UG3313 - Toner noir;;;;UG-3313;null;10000;9254;4699
Sharp;Sharp  CS;;CS 740 Series;;ORIGINAL Canon 4202A002 / EP-102 - Ruban nylon noir-rouge;;;;EP-102;null;4202 A 002;13766;4684
Brother;Brother  WP;;WP 1600 D;;ORIGINAL Brother 1032 - Ruban nylon noir;;;;1032;7,70 €;Oui;1172;4733
Samsung;Samsung  SCX;;SCX-5315 F;;ORIGINAL Samsung SCX5312D6ELS - Toner noir;;;;SCX-5312 D6/ELS;null;6000;12398;5522
Utax;Utax  P;;P-C 3570 DN;;null;;;;null;null;null;15575;#N/A
Sharp;Sharp  ER;;ER 1550;;ORIGINAL Canon 4202A002 / EP-102 - Ruban nylon noir-rouge;;;;EP-102;null;4202 A 002;13767;4684
Samsung;Samsung  Xpress;;Xpress SL-C 430;;PROMO Pack de 4 toners GENERIQUES Samsung CLTP404CELS / P404C - Toner MultiPack;;;;P404C;null;CLT-P 404 C/ELS;12399;5493
Brother;Brother  MFC-J;;MFC-J 5330 DW XL;;PROMO Pack de 4 cartouches compatibles Brother LC3219XLVALDR;;;;LC-3219 XL VAL DR;null;Non;1173;4754
Panasonic;Panasonic  Panafax;;Panafax UF-758;;COMPATIBLE Panasonic UG3204 - Toner noir;;;;UG-3204;null;8000;9255;4701
Triumph-Adler;Triumph-Adler  FX;;FX 650;;null;;;;null;null;null;16;#N/A
Sanyo;Sanyo  CY;;CY 3200 P;;ORIGINAL Canon 4202A002 / EP-102 - Ruban nylon noir-rouge;;;;EP-102;null;4202 A 002;12897;4684
Panasonic;Panasonic  KX-MB;;KX-MB 2515;;ORIGINAL Panasonic KXFAT431X - Toner noir;;;;KX-FAT 431 X;null;6000;9256;5253
Canon;Canon  IR;;IR 2200;;COMPATIBLE Canon 6647A002 / C-EXV 3 - Toner noir;;;;C-EXV 3;null;6647 A 002;4458;4896
Xerox;Xerox  DocuColor;;DocuColor 2240;;ORIGINAL Xerox 006R01122 - Toner noir;;;;006 R 01122;null;26000;16900;5831
Savin;Savin  C;;C 7570;;ORIGINAL Ricoh D0812216 - Photoconducteur;;;;D0812216;null;Oui;13023;5400
Olympia;Olympia  CA;;CA 500 Series;;ORIGINAL Canon 4202A002 / EP-102 - Ruban nylon noir-rouge;;;;EP-102;null;4202 A 002;8701;4684
Commodore;Commodore  VC;;VC 4500 Series;;ORIGINAL Epson C13S015021 / 7753 ( Alt. C13S015633) - Ruban nylon noir;;;;7753;null;C 13 S0 15021;6619;4791
Canon;Canon  imageCLASS;;ImageClass LBP-6700 Series;;COMPATIBLE Canon 3482B002 / 724H - Toner noir;;;;724H;null;3482 B 002;4459;4830
Olivetti;Olivetti  D-Color;;D-Color MF 35 Plus;;ORIGINAL Olivetti B0580 - Toner cyan;;;;B0580;null;12000;8149;5178
Canon;Canon  imageCLASS;;ImageClass LBP-7780 cdn;;COMPATIBLE Canon 6264B002 / 732H - Toner noir;;;;732H;null;6264 B 002;4460;4966
Canon;Canon  Pixma;;Pixma MP 499;;COMPATIBLE Canon 2969B001 / PG-512 - Tête d'impression noire;;;;PG-512;null;2969 B 001;4461;4862
Canon;Canon  imagePROGRAF IPF;;imagePROGRAF IPF 8400 S;;COMPATIBLE Canon 6681B001 / PFI-706 BK - Cartouche d'encre noire;;;;PFI-706 BK;null;6681 B 001;4462;4929
Citizen;Citizen  DP;;DP 555 LG;;ORIGINAL Canon 4202A002 / EP-102 - Ruban nylon noir-rouge;;;;EP-102;null;4202 A 002;6538;4684
Ricoh;Ricoh  Aficio SP;;Aficio SP 100 e;;COMPATIBLE Ricoh 407166 / TYPE SP 100 LE - Toner noir;;;;TYPE SP 100 LE;null;407166;10997;5359
Rex Rotary;Rex Rotary  Docustation;;Docustation 28105;;ORIGINAL Ricoh A2959510 / TYPE 850 - Photoconducteur;;;;TYPE 850;null;A 295-9510;10074;5289
Canon;Canon  IR;;IR 5800 c;;ORIGINAL Canon 2447B002 / C-EXV 24 - Toner noir;;;;C-EXV 24;null;2447 B 002;4463;4839
Canon;Canon  NP;;NP 7200 Series;;ORIGINAL Canon 1386A006 / C-EXV 6 - Toner noir;;;;C-EXV 6;null;1386 A 006;4464;4973
Brother;Brother  MW;;MW-260 A 6;;ORIGINAL Brother C212S - Papier transfert thermique;;;;C-212 S;null;50;1174;4777
Xerox;Xerox  DC;;DC 30 CP;;ORIGINAL Xerox 008R04004 - Huile fuser;;;;008 R 04004;null;200000;16901;5861
Samsung;Samsung  CLX;;CLX-6200 FX;;COMPATIBLE Samsung CLPK660BELS - Toner noir;;;;CLP-K 660 B/ELS;null;5500;12400;5504
Canon;Canon  imagePROGRAF IPF;;imagePROGRAF IPF 8000;;COMPATIBLE Canon 0900B001 / PFI-701 BK - Cartouche d'encre noire;;;;PFI-701 BK;null;0900 B 001;4465;4960
Sharp;Sharp  UX;;UX 500;;ORIGINAL Sharp UX15CR - Film transfert thermique;;;;UX-15 CR;null;500;13768;5579
Ricoh;Ricoh  Sp;;SP 377 SFNwX;;null;;;;null;null;null;10998;#N/A
Olivetti;Olivetti  OFX;;OFX 5000;;ORIGINAL Kyocera 35382010 - Toner noir;;;;35382010;null;3000;8150;5179
Xerox;Xerox  WorkCentre;;WorkCentre 5024;;ORIGINAL Xerox 006R01573 - Toner noir;;;;006 R 01573;null;9000;16902;5949
Sharp;Sharp  CS;;CS 743;;ORIGINAL Canon 4202A002 / EP-102 - Ruban nylon noir-rouge;;;;EP-102;null;4202 A 002;13769;4684
Xerox;Xerox  WC;;WC 5222 KUF;;ORIGINAL Xerox 106R01306 - Toner noir;;;;106 R 01306;null;30000;16903;5841
Xerox;Xerox  WorkCentre;;WorkCentre 7220;;ORIGINAL Xerox 006R01457 - Toner noir;;;;006 R 01457;null;22000;16904;5897
OKI;OKI  Okifax;;Okifax 5600 Series;;COMPATIBLE OKI 09002395 - Toner noir;;;;9002395;null;2500;7301;4713
Canon;Canon  WG;;WG 7540;;ORIGINAL Canon 2774C001 / PGI-7500 BK - Tête d'impression noire;;;;PGI-7500 BK;null;2774 C 001;4466;5004
Xerox;Xerox  Docuprint;;Docuprint 4517 OCT;;ORIGINAL Xerox 113R00095 - Toner noir;;;;113 R 00095;null;10000;16905;5021
Brother;Brother  HL;;HL-5050 LT;;COMPATIBLE Brother TN7600 - Toner noir;;;;TN-7600;null;6500;1175;4748
Canon;Canon  BJC;;BJC 4200;;COMPATIBLE Canon 0955A002 / BCI-21 C - Cartouche d'encre couleur;;;;BCI-21 C;null;0955 A 002;4467;4708
Canon;Canon  i-SENSYS;;i-SENSYS LBP-1260 Series;;COMPATIBLE HP 92298X / 98X - Toner noir;;;;98X;null;92298 X;4468;4705
Samsung;Samsung  ML;;ML-3300 Series;;COMPATIBLE Samsung MLTD205LELS / 205L - Toner noir;;;;205L;null;MLT-D 205 L/ELS;12401;5502
Ricoh;Ricoh  MP C;;MP C 2011 SP;;ORIGINAL Ricoh 841925 - Toner noir;;;;841925;null;15000;10999;5367
Canon;Canon  Pixma;;Pixma MX 510 Series;;COMPATIBLE Canon 5226B005 / CL-541 XL - Tête d'impression couleur;;;;CL-541 XL;null;5226 B 005;4469;4848
Xerox;Xerox  Phaser;;Phaser 7300 V MDN;;COMPATIBLE Xerox 016198000 - Toner noir;;;;016-1980-00;null;15000;16906;5864
Canon;Canon  Fax L;;Fax L 350;;COMPATIBLE Canon 1557A003 / FX-3 - Toner noir;;;;FX-3;null;1557 A 003;4470;4824
Sharp;Sharp  CS;;CS 1165;;ORIGINAL Canon 4202A002 / EP-102 - Ruban nylon noir-rouge;;;;EP-102;null;4202 A 002;13770;4684
Canon;Canon  IR;;IR Advance C 3025 i;;ORIGINAL Canon 1394C002 / C-EXV 54 - Toner noir;;;;C-EXV 54;null;1394 C 002;4471;4968
Canon;Canon  P;;P 660 C;;ORIGINAL Canon 3531A017 / BJI-P 600 LM - Cartouche d'encre magenta claire;;;;BJI-P 600 LM;null;3531 A 017;4472;4886
Canon;Canon  i-SENSYS;;i-SENSYS MF 227 dw;;COMPATIBLE Canon 9435B002 / 737 - Toner noir;;;;737;null;9435 B 002;4473;4964
Brother;Brother  HL;;HL-1470 LT;;COMPATIBLE Brother TN6600 - Toner noir;;;;TN-6600;null;6000;1176;4724
Canon;Canon  LBP;;LBP-2460 n;;COMPATIBLE HP C3909A / 09A - Toner noir;;;;09A;null;C 3909 A;4474;4981
Brother;Brother  HL;;HL-5140;;COMPATIBLE Brother TN3060 - Toner noir;;;;TN-3060;null;6700;1177;4718
Brother;Brother  P-Touch;;P-Touch 2000;;ORIGINAL Brother TC101 - P-Touch Ruban;;;;TC-101;null;Oui;1178;4749
Ricoh;Ricoh  Aficio;;Aficio 2035 f;;COMPATIBLE Ricoh 888182 / TYPE 3210 D - Toner noir;;;;TYPE 3210 D;null;888182;11000;5298
Canon;Canon  Satera;;Satera MF 4130;;COMPATIBLE Canon 0263B002 / FX-10 - Toner noir;;;;FX-10;null;0263 B 002;4475;4819
Olivetti;Olivetti  D-Copia;;D-Copia 403 MF plus;;null;;;;null;null;null;8151;#N/A
Ricoh;Ricoh  FT;;FT 7950;;ORIGINAL Ricoh 887797 / TYPE 9 - Développeur;;;;TYPE 9;null;887797;11001;5392
Toshiba;Toshiba  E-Studio;;E-Studio 5008 LP;;ORIGINAL Toshiba 6AJ00000151 / T-3008 E - Toner noir;;;;T-3008 E;null;6AJ00000151;14914;5654
Sharp;Sharp  CS;;CS 743 R;;ORIGINAL Canon 4202A002 / EP-102 - Ruban nylon noir-rouge;;;;EP-102;null;4202 A 002;13771;4684
Canon;Canon  IR;;IR 1530;;COMPATIBLE Canon 7814A002 / C-EXV 7 (NPG21) - Toner noir;;;;C-EXV 7;null;7814 A 002;4476;4911
Xerox;Xerox  Document WorkCentre;;Document WorkCentre 3003 Plus;;COMPATIBLE Olivetti B0384 / FPJ20 (84431)  - Tête d'impression noire;;;;FPJ20;null;B0384;16907;4691
Canon;Canon  Pixma;;Pixma MG 3650;;COMPATIBLE Canon 5226B005 / CL-541 XL - Tête d'impression couleur;;;;CL-541 XL;null;5226 B 005;4477;4848
OKI;OKI  ML;;ML 590 n;;ORIGINAL OKI 09002316 - Ruban nylon noir;;;;9002316;null;Oui;7302;5102
Olivetti;Olivetti  ET;;ET 111;;null;;;;null;null;null;8152;#N/A
Utax;Utax  P;;P-C 2660 DN;;null;;;;null;null;null;15576;#N/A
Olivetti;Olivetti  D-Copia;;D-Copia 16 W;;null;;;;null;null;null;8153;#N/A
Rex Rotary;Rex Rotary  Docustation;;Docustation 2885;;ORIGINAL Ricoh A2959510 / TYPE 850 - Photoconducteur;;;;TYPE 850;null;A 295-9510;10075;5289
Xerox;Xerox  WorkCentre;;WorkCentre 5230;;ORIGINAL Xerox 106R01306 - Toner noir;;;;106 R 01306;null;30000;16908;5841
COT;COT  P;;P 5010;;ORIGINAL IBM 1040998 - Ruban nylon noir;;;;1040998;null;Oui;6678;4682
Ricoh;Ricoh  Fax;;Fax 1800 L;;Ricoh Toner Laser Type 1435 (430244) (430291) (430261) Infotec 36 4,5k;;;;TYPE 1435 D;null;430244;11002;5415
Brother;Brother  HL;;HL-1800 Series;;COMPATIBLE Brother TN7600 - Toner noir;;;;TN-7600;null;6500;1179;4748
Tenovis;Tenovis  Fax;;Fax 375;;COMPATIBLE OKI 09002395 - Toner noir;;;;9002395;null;2500;14614;4713
CPF;CPF  NP;;NP 6112;;null;;;;null;null;null;2554;#N/A
Olympia;Olympia  Mastertype;;Mastertype 110 Series;;ORIGINAL Olympia 9775 - Ruban carbone;;;;9775;null;Oui;8702;5206
Samsung;Samsung  ML;;ML-2254;;null;;;;null;null;null;12402;#N/A
Samsung;Samsung  ML;;ML-2551 NS;;COMPATIBLE Samsung ML2550DAELS - Toner noir;;;;ML-2550 DA/ELS;null;10000;12403;5482
Brother;Brother  HL-L;;HL-L 3280 CDW;;PROMO Pack de 4 toners compatibles Brother TN247BK+CMY - Toner MultiPack;;;;TN-247 CMYK;null;3000 + 3X2300;1180;4753
Xerox;Xerox  Phaser;;Phaser 8500;;ORIGINAL Xerox 108R00668 - Encre solide en Color-Stix;;;;108 R 00668;null;3000;16909;5896
Olivetti;Olivetti  PG;;PG L 2550;;ORIGINAL Olivetti B1228 - Toner noir;;;;B1228;null;12500;8154;5181
Brother;Brother  GX;;GX 7750;;ORIGINAL Brother 1032 - Ruban nylon noir;;;;1032;7,70 €;Oui;1181;4733
Citizen;Citizen  IDP;;IDP 3530 S;;ORIGINAL Citizen 3000098 / IR 61 B - Ruban nylon noir;;;;IR 61 B;null;3000098;6539;5017
Canon;Canon  Compri;;Compri BN 700-4 D;;COMPATIBLE Canon 0956A002 / BCI-10 BK - Cartouche d'encre noire;;;;BCI-10 BK;null;0956 A 002;4478;4710
OKI;OKI  ML;;ML 390 Turbo;;COMPATIBLE OKI 09002309 - Ruban nylon noir;;;;9002309;null;Non;7303;4794
Canon;Canon  FC;;FC 320;;COMPATIBLE Canon 1491A003 / E30 - Toner noir;;;;E30;null;1491 A 003;4479;4829
Xerox;Xerox  Docuprint P;;Docuprint P 8 EX;;COMPATIBLE Xerox 113R00296 - Toner noir;;;;113 R 00296;null;5000;16910;5942
Samsung;Samsung  CLP;;CLP-500 A;;COMPATIBLE Samsung CLP500D7KELS - Toner noir;;;;CLP 500 D7K/ELS;null;7000;12404;5478
Philips;Philips  P;;P 2906;;ORIGINAL Epson C13S015021 / 7753 ( Alt. C13S015633) - Ruban nylon noir;;;;7753;null;C 13 S0 15021;9670;4791
Xerox;Xerox  WorkCentre;;WorkCentre 5222 KTL;;ORIGINAL Xerox 106R01306 - Toner noir;;;;106 R 01306;null;30000;16911;5841
Ricoh;Ricoh  Aficio MP;;Aficio MP 6001 ds;;Ricoh Toner MP 9002 (842116) (OLD: 841992);;;;TYPE 6210 D;null;885098;11003;5302
Canon;Canon  Canola;;Canola P 1440 D;;ORIGINAL Canon 4202A002 / EP-102 - Ruban nylon noir-rouge;;;;EP-102;null;4202 A 002;4480;4684
Canon;Canon  Pixma;;Pixma MG 7753;;Pack de 5 COMPATIBLES Canon PGI-570XL+CLI571XL (BK+CMY);;;;PGI-570 CLI 571;null;0372 C 004;4481;4867
Philips;Philips  Fax I-JET;;Fax I-JET Memo;;COMPATIBLE Philips PFA421 / 906115308009 - Tête d'impression noire;;;;9,06E+11;null;PFA-421;9671;#N/A
Pitney Bowes;Pitney Bowes  W;;W 800;;COMPATIBLE HP 51645AE / 45 - Tête d'impression noire;;;;45;null;51645 AE;9799;4712
PSI;PSI  PP;;PP 408;;null;;;;null;null;null;9955;#N/A
Philips;Philips  Magic;;Magic 3-2 Voice;;COMPATIBLE Philips PFA331 / 906115312009 - Rouleau transfert thermique;;;;9,06E+11;null;PFA-331;9672;#N/A
Canon;Canon  LBP;;LBP-1710;;COMPATIBLE Canon 6751A003 / EP-65 - Toner noir;;;;EP-65;null;6751 A 003;4482;4858
Canon;Canon  IR-C;;IR-C 3380 i;;COMPATIBLE Canon 0452B002 / C-EXV 21 - Toner noir;;;;C-EXV 21;null;0452 B 002;4483;4906
Samsung;Samsung  ProXpress;;ProXpress C 2680 FX;;COMPATIBLE Samsung CLTK505LELS / K505L - Toner noir;;;;K505L;null;CLT-K 505 L/ELS;12405;5510
OKI;OKI  MC;;MC 562 DN;;COMPATIBLE OKI 44469803 - Toner noir;;;;44469803;null;3500;7304;5115
Brother;Brother  MFC;;MFC-8380 DLT;;COMPATIBLE Brother DR3200 - Kit tambour;;;;DR-3200;null;25000;1182;4736
Tally Genicom;Tally Genicom  T;;T 2540-24;;ORIGINAL Tally Genicom 043446 - Ruban nylon noir;;;;43446;null;Oui;14490;5636
Ricoh;Ricoh  Aficio FW;;Aficio FW 470;;ORIGINAL Ricoh 888029 / TYPE 1160 W - Toner noir;;;;TYPE 1160 W;null;888029;11004;5345
Olivetti;Olivetti  D-Copia;;D-Copia 1600;;null;;;;null;null;null;8155;#N/A
Casio;Casio  DR;;DR 1000;;ORIGINAL Canon 4202A002 / EP-102 - Ruban nylon noir-rouge;;;;EP-102;null;4202 A 002;6324;4684
Brother;Brother  P-Touch;;P-Touch 1250 Series;;COMPATIBLE Brother TZE231 - P-Touch Ruban;;;;TZE-231;null;Non;1183;4719
OKI;OKI  MB;;MB 461;;COMPATIBLE OKI 44574702 - Toner noir;;;;44574702;null;4000;7305;5129
Brother;Brother  P-Touch;;P-Touch QL 820 NW;;COMPATIBLE Brother DK22205 - P-Touch Étiquettes;;;;DK-22205;null;Non;1184;4735
Olympia;Olympia  Electronic;;Electronic Compact I;;ORIGINAL Olympia 9775 - Ruban carbone;;;;9775;null;Oui;8703;5206
Canon;Canon  C;;C 150;;COMPATIBLE Canon 1372A005 / NPG-1 - Toner noir;;;;NPG-1;null;1372 A 005;4484;4856
OKI;OKI  ES;;ES 7170 Series;;ORIGINAL OKI 45460502 - Toner noir;;;;45460502;null;36000;7306;5131
Canon;Canon  i-SENSYS;;i-SENSYS LBP-212 dw;;COMPATIBLE Canon 2200C002 / 052H - Toner noir;;;;052H;null;2200 C 002;4485;4892
Canon;Canon  IR-C;;IR-C 3025 i;;ORIGINAL Canon 1394C002 / C-EXV 54 - Toner noir;;;;C-EXV 54;null;1394 C 002;4486;4968
Canon;Canon  IR;;IR Advance 4535 i;;ORIGINAL Canon 0475C002 / C-EXV 52 - Photoconducteur;;;;C-EXV 52;null;0475 C 002;4487;4863
Canon;Canon  Lasershot;;Lasershot LBP-1210;;COMPATIBLE HP C7115X / 15X - Toner noir;;;;15X;null;C 7115 X;4488;4804
Brother;Brother  P-Touch;;P-Touch PC;;ORIGINAL Brother TX315 - P-Touch Ruban;;;;TX-315;null;Oui;1185;4787
Xerox;Xerox  WorkCentre;;WorkCentre 7120 S;;ORIGINAL Xerox 006R01457 - Toner noir;;;;006 R 01457;null;22000;16912;5897
Ricoh;Ricoh  Sp;;SP 150 x;;COMPATIBLE Ricoh 408010 / TYPE 150 HC - Toner noir;;;;TYPE 150 HC;null;408010;11005;5334
C.Itoh;C.Itoh  CI;;CI 600 Q;;ORIGINAL IBM 1040998 - Ruban nylon noir;;;;1040998;null;Oui;2046;4682
Brother;Brother  HL;;HL-2140;;COMPATIBLE Brother DR2100 - Kit tambour;;;;DR-2100;null;12000;1186;4734
Xerox;Xerox  Phaser;;Phaser 4622 DN;;COMPATIBLE Xerox 106R01535 - Toner noir;;;;106 R 01535;null;30000;16913;5846
Utax;Utax  LP;;LP 3035;;ORIGINAL Utax 4403510010 - Toner noir;;;;4 403 510 010;null;12000;15577;5761
Sharp;Sharp  Compet;;Compet 620 Series;;ORIGINAL Canon 4202A002 / EP-102 - Ruban nylon noir-rouge;;;;EP-102;null;4202 A 002;13772;4684
Sharp;Sharp  MX;;MX-5100 N;;COMPATIBLE Sharp MX31GTCA - Toner cyan;;;;MX-31 GTCA;null;15000;13773;5586
Brother;Brother  P-Touch;;P-Touch QL 580;;COMPATIBLE Brother DK22205 - P-Touch Étiquettes;;;;DK-22205;null;Non;1187;4735
OKI;OKI  C;;C 9800 HDN;;COMPATIBLE OKI 42918916 - Toner noir;;;;42918916;null;15000;7307;5092
Xerox;Xerox  Phaser;;Phaser 3121;;COMPATIBLE Xerox 109R00725 - Toner noir;;;;109 R 00725;null;3000;16914;5895
Samsung;Samsung  SCX;;SCX-5737 FW;;COMPATIBLE Samsung MLTD205LELS / 205L - Toner noir;;;;205L;null;MLT-D 205 L/ELS;12406;5502
Seikosha;Seikosha  Sp;;SP 2400 Series;;null;;;;null;null;null;13073;#N/A
Ricoh;Ricoh  Aficio MP C;;Aficio MP C 1500 Series;;ORIGINAL Ricoh 888547 / DT1500BLK - Cartouche d'encre noire;;;;DT1500BLK;null;888547;11006;5414
Xerox;Xerox  Phaser;;Phaser 8500 AN;;ORIGINAL Xerox 108R00668 - Encre solide en Color-Stix;;;;108 R 00668;null;3000;16915;5896
Sharp;Sharp  MX;;MX-3550 V;;ORIGINAL Sharp MX60GVSA - Développeur;;;;MX-60 GVSA;null;Oui;13774;5561
Canon;Canon  Fax;;Fax EB 10;;COMPATIBLE Canon 0896A002 / BX-20 - Tête d'impression noire;;;;BX-20;null;0896 A 002;4489;4697
Brother;Brother  Intellifax;;Intellifax 4750 E;;COMPATIBLE Brother TN6600 - Toner noir;;;;TN-6600;null;6000;1188;4724
Panasonic;Panasonic  KX-MB;;KX-MB 1530;;ORIGINAL Panasonic KXFAT410X - Toner noir;;;;KX-FAT 410 X;null;2500;9257;5240
Canon;Canon  Color Imagerunner;;Color Imagerunner C 3220 n;;ORIGINAL Canon 7629A002 / C-EXV 8 - Toner noir;;;;C-EXV 8;null;7629 A 002;4490;4944
Toshiba;Toshiba  BD;;BD 1568;;null;;;;null;null;null;14915;#N/A
Canon;Canon  i-SENSYS;;i-SENSYS MF 731 Cdw;;LaserJet 4300 Series;;;;Non;null;null;4491;4933
Brother;Brother  Compactronic;;Compactronic 300;;ORIGINAL Brother 1032 - Ruban nylon noir;;;;1032;7,70 €;Oui;1189;4733
Samsung;Samsung  CLP;;CLP-500 G;;COMPATIBLE Samsung CLP500D7KELS - Toner noir;;;;CLP 500 D7K/ELS;null;7000;12407;5478
Ricoh;Ricoh  Aficio MP;;Aficio MP 4000 spf;;ORIGINAL Ricoh B2969640 / TYPE 4500 - Développeur;;;;TYPE 4500;null;B2969640;11007;5305
Canon;Canon  IR-C;;IR-C 350 i;;ORIGINAL Canon 8520B002 / C-EXV 47 - Kit tambour;;;;C-EXV 47;null;8520 B 002;4492;4840
Olivetti;Olivetti  Fax-LAB;;Fax-LAB 710;;COMPATIBLE Olivetti B0702 / FJ63 - Tête d'impression noire;;;;FJ63;null;B0702;8156;5190
Canon;Canon  imageCLASS MF;;ImageClass MF 8330 cdn;;COMPATIBLE Canon 2662B002 / 718BK - Toner noir;;;;718BK;null;2662 B 002;4493;4831
Omron;Omron  RS;;RS 85;;ORIGINAL Epson C43S015356 / ERC-18-B - Ruban nylon noir;;;;ERC-18-B;null;C 43 S0 15356;8895;5012
CPF;CPF  NP;;NP 4800 Series;;null;;;;null;null;null;3992;#N/A
Toshiba;Toshiba  BC;;BC 1232 PV;;ORIGINAL Canon 4202A002 / EP-102 - Ruban nylon noir-rouge;;;;EP-102;null;4202 A 002;14916;4684
Philips;Philips  PPF;;PPF 575 R;;COMPATIBLE Philips PFA331 / 906115312009 - Rouleau transfert thermique;;;;9,06E+11;null;PFA-331;9673;#N/A
Xerox;Xerox  WC;;WC 5655;;COMPATIBLE Xerox 006R01046 - Toner noir;;;;006 R 01046;null;30000;16916;5823
Samsung;Samsung  SCX;;SCX-4824 Series;;COMPATIBLE Samsung MLTD2092LELS / 2092L - Toner noir;;;;2092L;null;MLT-D 2092 L/ELS;12408;5523
Canon;Canon  SX;;SX 20;;ORIGINAL Canon 4202A002 / EP-102 - Ruban nylon noir-rouge;;;;EP-102;null;4202 A 002;4494;4684
Samsung;Samsung  Xpress;;Xpress M 2676;;COMPATIBLE Samsung MLTR116SEE / R116 - Kit tambour;;;;R116;null;MLT-R 116/SEE;12409;5490
